filename	hdu	keyword	value
c4d_150204_035614_ori.fits.fz	0	OBJECT	Blind15A_01
c4d_150204_040117_ori.fits.fz	0	OBJECT	Blind15A_01
c4d_150204_040309_ori.fits.fz	0	OBJECT	Blind15A_02
c4d_150204_040459_ori.fits.fz	0	OBJECT	Blind15A_03
c4d_150204_040648_ori.fits.fz	0	OBJECT	Blind15A_04
c4d_150204_040838_ori.fits.fz	0	OBJECT	Blind15A_05
c4d_150204_041031_ori.fits.fz	0	OBJECT	Blind15A_06
c4d_150204_041220_ori.fits.fz	0	OBJECT	Blind15A_07
c4d_150204_041415_ori.fits.fz	0	OBJECT	Blind15A_08
c4d_150204_041605_ori.fits.fz	0	OBJECT	Blind15A_09
c4d_150204_041753_ori.fits.fz	0	OBJECT	Blind15A_10
c4d_150204_041945_ori.fits.fz	0	OBJECT	Blind15A_11
c4d_150204_042136_ori.fits.fz	0	OBJECT	Blind15A_12
c4d_150204_042325_ori.fits.fz	0	OBJECT	Blind15A_13
c4d_150204_042517_ori.fits.fz	0	OBJECT	Blind15A_14
c4d_150204_042709_ori.fits.fz	0	OBJECT	Blind15A_15
c4d_150204_042905_ori.fits.fz	0	OBJECT	Blind15A_16
c4d_150204_043054_ori.fits.fz	0	OBJECT	Blind15A_17
c4d_150204_043243_ori.fits.fz	0	OBJECT	Blind15A_18
c4d_150204_043435_ori.fits.fz	0	OBJECT	Blind15A_19
c4d_150204_043621_ori.fits.fz	0	OBJECT	Blind15A_20
c4d_150204_043814_ori.fits.fz	0	OBJECT	Blind15A_21
c4d_150204_044004_ori.fits.fz	0	OBJECT	Blind15A_22
c4d_150204_044157_ori.fits.fz	0	OBJECT	Blind15A_23
c4d_150204_044347_ori.fits.fz	0	OBJECT	Blind15A_24
c4d_150204_044542_ori.fits.fz	0	OBJECT	Blind15A_25
c4d_150216_194437_zri.fits.fz	0	OBJECT	preflats-BIAS
c4d_150216_194459_zci_v1.fits.fz	0	OBJECT	preflats-BIAS
c4d_150216_194459_zcw_v1.fits.fz	0	OBJECT	preflats-BIAS
c4d_150216_194459_zri.fits.fz	0	OBJECT	preflats-BIAS
c4d_150216_194523_zri.fits.fz	0	OBJECT	preflats-BIAS
c4d_150216_194546_zri.fits.fz	0	OBJECT	preflats-BIAS
c4d_150216_194613_zri.fits.fz	0	OBJECT	preflats-BIAS
c4d_150216_194633_zri.fits.fz	0	OBJECT	preflats-BIAS
c4d_150216_194656_zri.fits.fz	0	OBJECT	preflats-BIAS
c4d_150216_194720_zri.fits.fz	0	OBJECT	preflats-BIAS
c4d_150216_194743_zri.fits.fz	0	OBJECT	preflats-BIAS
c4d_150216_194807_zri.fits.fz	0	OBJECT	preflats-BIAS
c4d_150216_194830_zri.fits.fz	0	OBJECT	preflats-BIAS
c4d_150216_194920_fri.fits.fz	0	OBJECT	DomeFlat-Y12
c4d_150216_194955_fci_Y_v1.fits.fz	0	OBJECT	DomeFlat-Y12
c4d_150216_194955_fcw_Y_v1.fits.fz	0	OBJECT	DomeFlat-Y12
c4d_150216_194955_fri.fits.fz	0	OBJECT	DomeFlat-Y12
c4d_150216_195030_fri.fits.fz	0	OBJECT	DomeFlat-Y12
c4d_150216_195109_fri.fits.fz	0	OBJECT	DomeFlat-Y12
c4d_150216_195142_fri.fits.fz	0	OBJECT	DomeFlat-Y12
c4d_150216_195220_fri.fits.fz	0	OBJECT	DomeFlat-Y12
c4d_150216_195255_fri.fits.fz	0	OBJECT	DomeFlat-Y12
c4d_150216_195332_fri.fits.fz	0	OBJECT	DomeFlat-Y12
c4d_150216_195407_fri.fits.fz	0	OBJECT	DomeFlat-Y12
c4d_150216_195444_fri.fits.fz	0	OBJECT	DomeFlat-Y12
c4d_150216_195518_fri.fits.fz	0	OBJECT	DomeFlat-Y12
c4d_150216_195556_fci_z_v1.fits.fz	0	OBJECT	DomeFlat-z12
c4d_150216_195556_fcw_z_v1.fits.fz	0	OBJECT	DomeFlat-z12
c4d_150216_195556_fri.fits.fz	0	OBJECT	DomeFlat-z12
c4d_150216_195633_fri.fits.fz	0	OBJECT	DomeFlat-z12
